# Argon data
34 atoms
1 atoms types

-1.0 11.0 xlo xhi
-1.0 11.0 ylo yhi
-1.0 11.0 zlo zhi

Masses

1 39.948

Atoms 

1    1           0.650129        2.146790        9.188196
2    1           7.110247       10.159577        5.729011
3    1          10.713448        5.104361       10.168036
4    1           7.611354        7.884003        5.812095
5    1           8.745522        9.768943        7.170898
6    1           9.017769        2.268015        3.801228
7    1           3.999602        5.212216        8.804003
8    1           4.968465        2.226234        0.382094
9    1          10.906162        9.557175        7.298181
10   1           2.661464        8.478166        3.007117
11   1           7.627018        1.468283        0.589603
12   1           3.960931        0.694388        4.574013
13   1           9.601491        8.093035        6.026518
14   1           4.309098        2.774606        8.080950
15   1           5.684888        7.338831        7.178287
16   1           9.144398        3.818298        1.916369
17   1          10.082165        1.342795        9.089610
18   1           3.089979        7.206740       10.268006
19   1           0.012892        4.503930        0.051102
20   1           4.555863       10.141431        8.977617
21   1          10.895993        8.080242        3.375529
22   1           8.276508        9.560171        3.247792
23   1           6.835618        8.062688        9.701061
24   1           0.090182       10.369527        0.841130
25   1           2.679930        6.910132        0.721561
26   1           9.978403        5.276140        4.173882
27   1           5.978908        5.406453        2.111193
28   1           5.982561        1.967479        6.706824
29   1           0.322237        2.779984        1.522160
30   1           3.527276        7.979944        7.085407
31   1           3.645902        5.967168        3.364449
32   1          -0.007508        1.736536        3.538443
33   1           0.252019        5.667310        1.931292
34   1           5.293428        4.398573        0.136909
