#LAMMPS data file via write_data, version 24 Dec 2020, timestep = 1000001
#
#
#
#

34 atoms
1 atom types

0.0 11.0 xlo xhi
0.0 11.0 ylo yhi
0.0 11.0 zlo zhi

Masses

1 39.9848

Atoms

1  1          1.591026        2.951627        9.352906
2  1          7.314391       10.635900        6.121317
3  1         10.739498        5.640328       10.243669
4  1         11.000000       10.584611        2.115523
5  1          8.711703       10.087239        7.811044
6  1          9.181808        2.960023        4.535206
7  1          4.636002        5.738379        9.003639
8  1          5.236958        2.809525        1.341714
9  1          10.998879        9.861250        8.011374
10 1          3.290281        9.219219        3.961383
11 1          8.260509        2.221708        1.563239
12 1          4.600846        1.631262        5.158194
13 1          11.000000        7.817225        6.686951
14 1           4.769012        3.593920        8.468132
15 1           1.000000        4.499971       11.000000
16 1           9.222618        4.386591        2.373967
17 1          10.165604        2.220722        9.263282
18 1           3.809072        7.551582       10.334550
19 1           0.990162        6.733314        0.929983
20 1           4.797781       10.737574        9.335657
21 1          10.999068        8.189439        3.784378
22 1           8.136862        9.974737        3.575561
23 1           7.545036        8.190716       10.149497
24 1          1.081984       10.426843        1.764664
25 1           3.421021        7.105097        1.325156
26 1          10.177910        5.982889        5.083080
27 1           6.545513        6.103501        3.235023
28 1           6.587042        2.717066        6.975298
29 1           2.131323        1.851999        2.489501
30 1           3.843450        8.263192        7.331653
31 1           4.458968        6.089744        4.161758
32 1           1.040150        2.607544        5.316091
33 1           1.274025        6.159651        3.103001
34 1           5.655038        5.137578        1.000711
